origin_id,destination_id,shortest_distance
"1","3",18485.5800358091
"2","3",20992.1424861433
"3","3",21513.2421803034
"4","3",21992.349039903
"5","3",22164.2971067232
"6","3",22528.3261546572
"7","3",17298.7825046386
"8","3",17585.1824368178
"9","3",17867.7002467773
"10","3",18253.6662120348
"11","3",18751.6939648455
"12","3",19811.1708912425
"13","3",20830.575311897
"14","3",21331.4983999208
"15","3",21668.2717397783
"16","3",22094.2524303603
"17","3",23361.0960448288
"18","3",16936.0570535095
"19","3",16885.8374597964
"20","3",23545.1756420448
"21","3",23168.1180344565
"22","3",22661.3889973266
"23","3",22161.6012309681
"24","3",21597.9275729326
"25","3",21104.6640421632
"26","3",20601.5257732546
"27","3",23516.3987659862
"28","3",21400.4522204413
"29","3",22545.5386498551
"30","3",22902.4009214202
"31","3",23360.1078882025
"32","3",14892.0495707897
"33","3",17021.89801266
"34","3",16356.2414940645
"35","3",16625.7582311906
"36","3",17070.9575680709
"37","3",17549.4322093448
"38","3",21787.6977109488
"39","3",22647.8700897432
"40","3",22154.0497906063
"41","3",23541.4861912625
"42","3",13603.1677894084
"43","3",13901.3686232466
"44","3",14688.9282739205
"45","3",15014.1643977593
"46","3",14802.6273122688
"47","3",17195.8431898531
"48","3",16820.1947583811
"49","3",16560.7637659611
"50","1",20994.8127821262
"51","3",17680.4868409576
"52","3",22335.9823754574
"53","3",21970.6833954656
"54","3",22809.6392905329
"55","3",23373.8929057607
"56","3",13018.1122589697
"57","3",12606.8061585312
"58","3",13529.639332393
"59","3",13216.1513501736
"60","3",13507.7112615559
"61","3",15046.1126388869
"62","3",15199.5887560381
"63","3",15557.6385167037
"64","3",15998.3808145051
"65","3",16813.0264446443
"66","3",16898.4970227119
"67","3",17341.9481567862
"68","3",17780.8211429644
"69","3",22653.717279308
"70","3",23300.9865714718
"71","3",23002.1391311833
"72","3",23791.0821743298
"73","1",28225.1311904949
"74","3",11946.0041865481
"75","3",11760.4686362378
"76","3",13355.9607085226
"77","1",17790.0097246877
"78","3",13123.0545732781
"79","3",14566.8857602802
"80","3",14227.4668811314
"81","3",14037.3525569276
"82","3",15182.2780494047
"83","3",17960.3550011098
"84","3",17500.7136700873
"85","3",17049.37445311
"86","3",16606.932347973
"87","3",18243.8137819115
"88","3",17876.7109431384
"89","3",19085.1179352118
"90","3",22837.3203893349
"91","3",23674.9377058719
"92","3",23874.8552600806
"93","3",24243.2063781714
"94","3",11146.5730643195
"95","1",15580.6220804845
"96","3",12117.7396210646
"97","3",11418.3008370666
"98","3",11231.2252615874
"99","3",14275.5384295364
"100","3",11289.7982916615
"101","3",11306.8979696772
"102","3",12560.5147416501
"103","3",14885.1994408412
"104","3",14661.4730795619
"105","3",14428.1811124016
"106","3",15269.7194923762
"107","3",15474.2124561186
"108","3",15933.8627876297
"109","3",16398.7557269235
"110","3",17251.6730123607
"111","3",18704.6733981133
"112","3",18345.8731376236
"113","3",19462.0515403714
"114","3",24141.9576026789
"115","3",23850.2288965109
"116","3",24365.6836932485
"117","3",24712.7576843658
"118","3",11368.7640666726
"119","3",10632.155003206
"120","3",12410.625085347
"121","3",12289.9792074044
"122","3",11138.468750473
"123","3",14945.5258639036
"124","3",11576.3648838297
"125","3",10877.2325550725
"126","3",13466.1657300351
"127","3",14774.2978845246
"128","3",15726.4504065689
"129","3",18520.9233432061
"130","3",18074.0974677531
"131","3",17592.066521813
"132","1",22026.1155379781
"133","1",22026.1155379781
"134","3",18091.3035662957
"135","3",19471.129640288
"136","3",19887.4524521989
"137","3",24540.8074426012
"138","3",24583.4999416665
"139","3",24859.7930782218
"140","3",12197.8592005698
"141","3",11868.3137168131
"142","3",10956.9747887506
"143","3",10268.3431819488
"144","3",11508.8416571651
"145","3",10998.8200423011
"146","3",10266.2236492517
"147","3",15416.5007206625
"148","3",12183.6340601735
"149","3",10505.022166008
"150","3",15341.8184040896
"151","1",19775.8674202547
"152","3",15963.5839077271
"153","3",18752.3251279517
"154","3",18298.1205612618
"155","48",18139.6222447198
"156","3",24995.1320070803
"157","3",24707.5481542019
"158","3",25083.4174448318
"159","3",25355.6949089929
"160","3",13058.5240344665
"161","3",12671.6475875956
"162","3",12372.8181482353
"163","3",11281.1382293023
"164","3",10582.7018234653
"165","3",9878.36001245159
"166","3",9733.91018601549
"167","3",10601.1904140606
"168","3",9896.84322073655
"169","3",9599.60253143472
"170","3",9505.34685684763
"171","3",16206.9599586199
"172","3",18981.1558868632
"173","48",20491.5157297764
"174","48",21296.0071822728
"175","3",25583.357860329
"176","3",13922.5968524185
"177","3",13517.2452596404
"178","3",13160.064828658
"179","3",12872.2597062698
"180","3",11636.9005158332
"181","3",10910.6430274082
"182","3",10208.9910156668
"183","3",9501.25866696787
"184","3",8802.31505785461
"185","3",10307.821898325
"186","3",8886.92891397053
"187","3",8939.56266669149
"188","48",21160.400647216
"189","3",14376.8227844576
"190","3",13992.0628840006
"191","3",13653.1602460048
"192","3",13371.9570919674
"193","3",12092.8350047115
"194","3",11246.2400855376
"195","3",10537.5949488415
"196","3",9856.66768566996
"197","3",9139.14613780539
"198","3",8453.1494428251
"199","3",9201.37124186655
"200","3",8433.76135905941
"201","3",9340.09364709196
"202","3",13295.8645060267
"203","3",10289.6344736023
